,Type,Domestic 2020,Domestic 2021,International 2020,International 2021,Domestic 2018,Domestic 2019,International 2018,International 2019
0,Hotel,973338.860839794,3461804.78621774,441040.95423486736,56871.777871971026,3581232.304171517,3863229.226860122,2282953.8199601723,2250648.067185635
1,Condo,369549.0990562421,1286219.0977735997,106933.79169712111,31549.390794377607,1190791.4927328483,1245479.9485096352,480816.0111342029,454284.6900051836
2,Timeshare,188207.49685915757,675741.3279064766,29539.36133118508,9229.77809027099,681247.9763254307,694653.0851081264,161084.19076711914,158728.43579482823
3,Rental house,256091.3992547644,797944.8329548754,33250.26952025728,7778.792477222645,805128.5534795584,889061.0725125368,147929.79468511906,147759.05349228915
4,Bed & breakfast,27358.341129514054,67092.77426184798,6229.677458964475,542.1338510033988,87610.8699127744,94589.85664209674,29547.19085925952,24261.450367185378
