1,2008,8842,9971
2,2009,8384,7804
3,2010,11073,10094
4,2011,7626,9466
5,2012,7544,8676
6,2013,8068,9766
7,2014,8075,9638
8,2015,8227,11128
9,2016,8239,11595
10,2017,8340,12134
11,2018,8632,11777
12,2019,9187,10923
13,2020,9518,9031
14,2021,12048,13922
