,Length of Stay,Total2018,Total2019,Total2020,Total2021
0,1 to 6 days,3217754.8415092146,3553982.366434383,824924.7424124939,1646688.6717111238
1,7 to 12 days,5189750.910168014,5404047.0552779455,1347321.1697652948,4144625.1064891354
2,13 to 30 days,1262487.5010060333,1198791.3830592118,428765.1738701177,895318.1542493044
3,31 to 365 days,91454.80327724316,86344.21919945738,77061.77542478197,91128.33075880274
4,Median (days),7.2879566759777905,7.159104124984314,7.469455561677566,9.636262035196111
5,Mean (days),8.986842816497676,8.756319138285779,10.648252857627035,7.536350218864539
