,Area Visited,Total 2018,Domestic 2018,International 2018,Total 2019,Domestic 2019,International 2019,Total 2020,Domestic 2020,International 2020,Total 2021,Domestic 2021,International 2021
0,Oahu,5862357.577556011,3217740.281575289,2644617.295980479,6154248.09396865,3513070.170925759,2641177.9229966304,1506315.6596533565,998148.5239437215,508167.13571779197,3326622.0925273355,3250595.6752653,76026.41726191902
1,Kauai,1389300.423018269,1209338.3775539068,179962.04546429307,1370028.606503551,1211259.8041123922,158768.80239238843,330262.66706633684,295842.75592386024,34419.91114235895,813647.3179196885,807657.8176036607,5989.500316026528
2,Maui,2914912.070158249,2432853.608284853,482058.4618737309,3059904.7492884723,2609797.643722655,450107.1055661471,792601.6936544611,693197.3208853989,99404.3727692982,2303941.5175422006,2262136.9507766734,41804.56676556427
3,Molokai,58885.48991183074,42440.65348694912,16444.836424881498,63034.6678718429,44304.32036486336,18730.34750698147,17024.986222275405,12998.553311018284,4026.4329112574555,25758.390802916816,25507.85710290552,250.5337000112916
4,Lanai,75010.30561441535,54310.07301783172,20700.232596583417,84102.95976047328,58799.10883692958,25303.850923547532,17924.02219887385,15488.98345031493,2435.038748559482,47829.24512950766,47290.640173127715,538.6049563799562
5,Hawaii Island,1706217.780854827,1291109.4603918977,415108.32046294026,1763904.0234220054,1361151.1317477247,402752.8916759212,493817.02141492587,402529.63208271185,91287.38933208477,1183457.9983569677,1172729.1050420576,10728.893314907164
